RowID,name,brand,color,freeShipping,inStock,avRating,reviewCount,listPrice,shippingPeriod,date,siteName,category,TimeNextPrice,group,PriceUp
644,Samsung Galaxy Note 2 (II) (White),Samsung,White,1,1,5,2,39900,3-4 business days,10/16/2012 1:03,Infibeam,Mobiles,0.58125,1,0
4865,Samsung Galaxy S Duos S7562 (White),Samsung,White,1,1,5,2,16990,2-3 business days,10/16/2012 1:03,Infibeam,Mobiles,0.58125,1,0
7507,Samsung S5360 Galaxy Y (White),Samsung,White,1,1,5,18,7090,,10/16/2012 1:03,Infibeam,Mobiles,0.581944444,1,0
3489,AirTyme GTX75 TORRID (Green),AirTyme,Green,1,2,4,15,1549,2-3 business days,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
3550,AirTyme GTX75 TORRID (Orange),AirTyme,Orange,1,2,4,15,1549,2-3 business days,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
3664,Arise A51 (White),Arise,White,1,2,,,859,2-3 business days,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
4075,Karbonn A9 Dual Sim Smartphone (Ivory White) (White),Karbonn,White,1,1,5,29,8399,2-3 business days,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
4469,Motorola Atrix 2 (Black),Motorola,Black,1,1,5,8,19999,2-3 business days,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
4898,Samsung Galaxy S III (Blue),Samsung,Blue,1,1,5,5,34900,2-3 business days,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
5227,Airtyme Flaunt (Black),Airtyme,Black,1,1,4,1,2338,,10/16/2012 1:04,Infibeam,Mobiles,0.581944444,1,0
5573,HTC Explorer (Royal Black),HTC,Black,1,1,4,3,8049,,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
5682,HTC Explorer (White),HTC,White,1,1,4,3,8099,,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
5831,HTC Wildfire S (Grey),HTC,Grey,1,2,5,6,10399,,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
6280,Micromax M2 (Grey),Micromax,Grey,2,1,4,83,1584,,10/16/2012 1:04,Infibeam,Mobiles,0.580555556,1,0
6349,Micromax M2 (Orange),Micromax,Orange,2,2,4,83,1584,,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
6519,Micromax Q80 with 3G Wifi,Micromax,Graphite Black,1,2,4,22,3449,,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
6635,Motorola Defy Plus (Black),Motorola,Black,2,2,5,33,13199,,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
6770,Motorola Milestone XT800 (Black),Motorola,Black,1,1,,,9729,,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
6872,Nokia 101 (Black),Nokia,Black,1,1,4,3,1559,,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
7259,Samsung Galaxy Ace S5830 (Black),Samsung,Black,1,1,4,14,11400,,10/16/2012 1:04,Infibeam,Mobiles,0.58125,1,0
